Product code,Bureau of Meteorology station number,Year,Month,Mean maximum temperature (°C),Quality
IDCJAC0002,94029,1921,5,14.7,Y
IDCJAC0002,94029,1921,6,13.3,Y
IDCJAC0002,94029,1921,7,12.4,Y
IDCJAC0002,94029,1921,8,12.5,Y
IDCJAC0002,94029,1921,9,17,Y
IDCJAC0002,94029,1921,10,16.1,Y
IDCJAC0002,94029,1921,11,21.5,Y
IDCJAC0002,94029,1921,12,18.6,Y
IDCJAC0002,94029,1922,1,21.2,Y
IDCJAC0002,94029,1922,2,21.9,Y
IDCJAC0002,94029,1922,3,19.5,Y
IDCJAC0002,94029,1922,4,17.7,Y
IDCJAC0002,94029,1922,5,15.1,Y
IDCJAC0002,94029,1922,6,11.8,Y
IDCJAC0002,94029,1922,7,12,Y
IDCJAC0002,94029,1922,8,13,Y
IDCJAC0002,94029,1922,9,14.9,Y
IDCJAC0002,94029,1922,10,17.9,Y
IDCJAC0002,94029,1922,11,18.7,Y
IDCJAC0002,94029,1922,12,20.2,Y
IDCJAC0002,94029,1923,1,20.1,Y
IDCJAC0002,94029,1923,2,21.1,Y
IDCJAC0002,94029,1923,3,18.9,Y
IDCJAC0002,94029,1923,4,17.4,Y
IDCJAC0002,94029,1923,5,14.2,Y
IDCJAC0002,94029,1923,6,11.6,Y
IDCJAC0002,94029,1923,7,12.2,Y
IDCJAC0002,94029,1923,8,13.7,Y
IDCJAC0002,94029,1923,9,14.6,Y
IDCJAC0002,94029,1923,10,16.3,Y
IDCJAC0002,94029,1923,11,17.2,Y
IDCJAC0002,94029,1923,12,20.6,Y
IDCJAC0002,94029,1924,1,19.1,Y
IDCJAC0002,94029,1924,2,19,Y
IDCJAC0002,94029,1924,3,19.8,Y
IDCJAC0002,94029,1924,4,16.4,Y
IDCJAC0002,94029,1924,5,14.4,Y
IDCJAC0002,94029,1924,6,11.6,Y
IDCJAC0002,94029,1924,7,11.4,Y
IDCJAC0002,94029,1924,8,13.5,Y
IDCJAC0002,94029,1924,9,14.7,Y
IDCJAC0002,94029,1924,10,16.7,Y
IDCJAC0002,94029,1924,11,18.1,Y
IDCJAC0002,94029,1924,12,19,Y
IDCJAC0002,94029,1925,1,20.6,Y
IDCJAC0002,94029,1925,2,20.2,Y
IDCJAC0002,94029,1925,3,19.4,Y
IDCJAC0002,94029,1925,4,16.6,Y
IDCJAC0002,94029,1925,5,13.5,Y
IDCJAC0002,94029,1925,6,11.4,Y
IDCJAC0002,94029,1925,7,10.7,Y
IDCJAC0002,94029,1925,8,12.2,Y
IDCJAC0002,94029,1925,9,14.7,Y
IDCJAC0002,94029,1925,10,17.5,Y
IDCJAC0002,94029,1925,11,18.3,Y
IDCJAC0002,94029,1925,12,20.3,Y
IDCJAC0002,94029,1926,1,20.3,Y
IDCJAC0002,94029,1926,2,23,Y
IDCJAC0002,94029,1926,3,20.9,Y
IDCJAC0002,94029,1926,4,17.7,Y
IDCJAC0002,94029,1926,5,13,Y
IDCJAC0002,94029,1926,6,13.2,Y
IDCJAC0002,94029,1926,7,12.4,Y
IDCJAC0002,94029,1926,8,13,Y
IDCJAC0002,94029,1926,9,15.2,Y
IDCJAC0002,94029,1926,10,17.2,Y
IDCJAC0002,94029,1926,11,19.1,Y
IDCJAC0002,94029,1926,12,20.4,Y
IDCJAC0002,94029,1927,1,21.7,Y
IDCJAC0002,94029,1927,2,21.6,Y
IDCJAC0002,94029,1927,3,17.7,Y
IDCJAC0002,94029,1927,4,15.9,Y
IDCJAC0002,94029,1927,5,13.8,Y
IDCJAC0002,94029,1927,6,10.3,Y
IDCJAC0002,94029,1927,7,10.9,Y
IDCJAC0002,94029,1927,8,12.4,Y
IDCJAC0002,94029,1927,9,15.1,Y
IDCJAC0002,94029,1927,10,17.6,Y
IDCJAC0002,94029,1927,11,19.4,Y
IDCJAC0002,94029,1927,12,21.5,Y
IDCJAC0002,94029,1928,1,22.9,Y
IDCJAC0002,94029,1928,2,21.2,Y
IDCJAC0002,94029,1928,3,22,Y
IDCJAC0002,94029,1928,4,18.7,Y
IDCJAC0002,94029,1928,5,14.1,Y
IDCJAC0002,94029,1928,6,11.6,Y
IDCJAC0002,94029,1928,7,12.7,Y
IDCJAC0002,94029,1928,8,14,Y
IDCJAC0002,94029,1928,9,14.9,Y
IDCJAC0002,94029,1928,10,14.7,Y
IDCJAC0002,94029,1928,11,18.4,Y
IDCJAC0002,94029,1928,12,20.3,Y
IDCJAC0002,94029,1929,1,21.4,Y
IDCJAC0002,94029,1929,2,22.5,Y
IDCJAC0002,94029,1929,3,19.5,Y
IDCJAC0002,94029,1929,4,17.5,Y
IDCJAC0002,94029,1929,5,14.6,Y
IDCJAC0002,94029,1929,6,11.5,Y
IDCJAC0002,94029,1929,7,10.5,Y
IDCJAC0002,94029,1929,8,13.1,Y
IDCJAC0002,94029,1929,9,14.5,Y
IDCJAC0002,94029,1929,10,16.2,Y
IDCJAC0002,94029,1929,11,16.6,Y
IDCJAC0002,94029,1929,12,17.6,Y
IDCJAC0002,94029,1930,1,20.9,Y
IDCJAC0002,94029,1930,2,22.6,Y
IDCJAC0002,94029,1930,3,21.1,Y
IDCJAC0002,94029,1930,4,16,Y
IDCJAC0002,94029,1930,5,15.2,Y
IDCJAC0002,94029,1930,6,11.2,Y
IDCJAC0002,94029,1930,7,13,Y
IDCJAC0002,94029,1930,8,13.1,Y
IDCJAC0002,94029,1930,9,14.8,Y
IDCJAC0002,94029,1930,10,18.8,Y
IDCJAC0002,94029,1930,11,18.6,Y
IDCJAC0002,94029,1930,12,20.7,Y
